inputs,questions,outputs
"Research suggests diclofenac can inhibit the thromboxane-prostanoid receptor, affect arachidonic acid release and uptake, inhibit lipoxygenase enzymes, and activate the nitric oxide-cGMP antinociceptive pathway",Which biological targets interacts with Diclofenac,Thromboxane-Prostanoid Receptor inhibitor
"Research suggests diclofenac can inhibit the thromboxane-prostanoid receptor, affect arachidonic acid release and uptake, inhibit lipoxygenase enzymes, and activate the nitric oxide-cGMP antinociceptive pathway",Which biological targets interacts with Diclofenac,Arachidonic Acid promotor
"Research suggests diclofenac can inhibit the thromboxane-prostanoid receptor, affect arachidonic acid release and uptake, inhibit lipoxygenase enzymes, and activate the nitric oxide-cGMP antinociceptive pathway",Which biological targets interacts with Diclofenac,Lipoxygenase Enzymes inhibitor
"Research suggests diclofenac can inhibit the thromboxane-prostanoid receptor, affect arachidonic acid release and uptake, inhibit lipoxygenase enzymes, and activate the nitric oxide-cGMP antinociceptive pathway",Which biological targets interacts with Diclofenac,Interacts with GLUT1 
"Research suggests diclofenac can inhibit the thromboxane-prostanoid receptor, affect arachidonic acid release and uptake, inhibit lipoxygenase enzymes, and activate the nitric oxide-cGMP antinociceptive pathway",Which biological targets interacts with Diclofenac,Interacts with MCT4 
"Research suggests diclofenac can inhibit the thromboxane-prostanoid receptor, affect arachidonic acid release and uptake, inhibit lipoxygenase enzymes, and activate the nitric oxide-cGMP antinociceptive pathway",Which biological targets interacts with Diclofenac,COX1 and COX2 enzymes inhibitor
"Research suggests diclofenac can inhibit the thromboxane-prostanoid receptor, affect arachidonic acid release and uptake, inhibit lipoxygenase enzymes, and activate the nitric oxide-cGMP antinociceptive pathway",Which biological targets interacts with Diclofenac,Modulation of MRP1
" Surprisingly, diclofenac, but not other NSAIDs, turns out to be a potent inhibitor of the lactate transporters monocarboxylate transporter 1 and 4 and diminishes lactate efflux.",Which biological targets interacts with Diclofenac,Monocarboxylate Transporter 1  and Monocarboxylate Transporter 4 inhibitor
"Diclofenac inhibits cyclooxygenase-1 and cyclooxygenase-2 enzymes, which are responsible for the generation of prostaglandin synthesis",Which biological targets interacts with Diclofenac,COX-1 and COX-2 inhibitor
Diclofenac Among these are metabolic factors bioactivation by hCYP2C9 or hCYP3A4 to thiol-reactive quinone imines ,Which biological targets interacts with Diclofenac,Bioactivation by hCYP2C9 or hCYP3A4
diclofenac ctivation by hUGT2B7 to protein-reactive acyl glucuronides and iso-glucuronides,Which biological targets interacts with Diclofenac,Activation by hUGT2B7
 diclofenac impairs immune response via a mechanism that involves Kv1.3.,Which biological targets interacts with Diclofenac,Kv1.3 inhibitor
Diclofenac also decreased iNOS levels in Raw 264.7 cells,Which biological targets interacts with Diclofenac, iNOS inhibitor
